session_date,status,active,ret,benchmark_ret,prev_aum,aum,net,cash_interest,trading_only_pnl,trading_only_ret,shares_traded,signal_count,signal_observations,nonflat_signal_observations,entries,fill_events,holding_minutes,scheduled_minutes,gross_notional_minute_dollars,positive_cash_minute_dollars,borrowed_cash_minute_dollars,pnl_long,pnl_short,pnl_commission,pnl_slippage,pnl_cash_interest,pnl_funding,pnl_borrow,ret_long,ret_short,ret_commission,ret_slippage,ret_cash_interest,ret_funding,ret_borrow
2007-04-25,tier_excluded,False,3.646579335358796e-05,0.0,100000.0,100003.64657933536,3.6465793353587963,3.6465793353587963,0.0,0.0,0.0,0,0,0,0,0.0,0.0,390.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,3.6465793353587963,-0.0,-0.0,0.0,0.0,-0.0,-0.0,3.646579335358796e-05,-0.0,-0.0
2007-04-26,tier_excluded,False,0.00013464292930555555,0.004537597234226531,100003.64657933536,100017.11136325204,13.464783916679213,13.464783916679213,0.0,0.0,0.0,0,0,0,0,0.0,0.0,390.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,13.464783916679213,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.00013464292930555555,-0.0,-0.0
2007-04-27,tier_excluded,False,0.00013464292930555558,0.0002151000215100396,100017.11136325204,100030.57796010668,13.466596854628223,13.466596854628223,0.0,0.0,0.0,0,0,0,0,0.0,0.0,390.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,13.466596854628223,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.00013464292930555558,-0.0,-0.0
2007-04-30,tier_excluded,False,0.00040392878791666666,-0.01204301075268821,100030.57796010668,100070.9831902167,40.40523011002952,40.40523011002952,0.0,0.0,0.0,0,0,0,0,0.0,0.0,390.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,40.40523011002952,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.00040392878791666666,-0.0,-0.0
2007-05-01,tier_excluded,False,0.00013485456141666666,0.00217675228559,100070.9831902167,100084.47821876536,13.495028548651296,13.495028548651296,0.0,0.0,0.0,0,0,0,0,0.0,0.0,390.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,13.495028548651296,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.00013485456141666666,-0.0,-0.0
2007-05-02,tier_excluded,False,0.00013485456141666666,0.009339704604691468,100084.47821876536,100097.97506718017,13.49684841480753,13.49684841480753,0.0,0.0,0.0,0,0,0,0,0.0,0.0,390.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,13.49684841480753,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.00013485456141666666,-0.0,-0.0
2007-05-03,tier_excluded,False,0.00013485456141666663,0.0025823111684959432,100097.97506718017,100111.47373570656,13.498668526381016,13.498668526381016,0.0,0.0,0.0,0,0,0,0,0.0,0.0,390.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,13.498668526381016,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.00013485456141666663,-0.0,-0.0
2007-05-04,tier_excluded,False,0.00013485456141666666,0.0,100111.47373570656,100124.97422458997,13.500488883404852,13.500488883404852,0.0,0.0,0.0,0,0,0,0,0.0,0.0,390.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,13.500488883404852,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.00013485456141666666,-0.0,-0.0
2007-05-07,tier_excluded,False,0.00040456368424999996,0.0006310367031550079,100124.97422458997,100165.4811530477,40.5069284577364,40.5069284577364,0.0,0.0,0.0,0,0,0,0,0.0,0.0,390.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,40.5069284577364,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.00040456368424999996,-0.0,-0.0
2007-05-08,tier_excluded,False,0.00013485456141666666,0.0019433969549158547,100165.4811530477,100178.98892507769,13.507772029983638,13.507772029983638,0.0,0.0,0.0,0,0,0,0,0.0,0.0,390.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,13.507772029983638,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.00013485456141666666,-0.0,-0.0
2007-05-09,tier_excluded,False,0.00013485456141666666,0.0032113037893384266,100178.98892507769,100192.49851869234,13.509593614656458,13.509593614656458,0.0,0.0,0.0,0,0,0,0,0.0,0.0,390.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,13.509593614656458,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.00013485456141666666,-0.0,-0.0
2007-05-10,tier_excluded,False,0.00013485456141666666,-0.016431924882629012,100192.49851869234,100206.00993413733,13.51141544497828,13.51141544497828,0.0,0.0,0.0,0,0,0,0,0.0,0.0,390.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,13.51141544497828,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.00013485456141666666,-0.0,-0.0
2007-05-11,tier_excluded,False,0.00013485456141666666,0.013018008244738422,100206.00993413733,100219.52317165831,13.513237520982232,13.513237520982232,0.0,0.0,0.0,0,0,0,0,0.0,0.0,390.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,13.513237520982232,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.00013485456141666666,-0.0,-0.0
2007-05-14,tier_excluded,False,0.00040456368424999996,-0.005997001499250421,100219.52317165831,100260.06835118642,40.54517952810433,40.54517952810433,0.0,0.0,0.0,0,0,0,0,0.0,0.0,390.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,40.54517952810433,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.00040456368424999996,-0.0,-0.0
2007-05-15,tier_excluded,False,0.00013485456141666666,-0.008403361344537674,100260.06835118642,100273.58887873152,13.520527545104265,13.520527545104265,0.0,0.0,0.0,0,0,0,0,0.0,0.0,390.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,13.520527545104265,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.00013485456141666666,-0.0,-0.0
2007-05-16,tier_excluded,False,0.00013485456141666666,0.010864841373315892,100273.58887873152,100287.11122958144,13.522350849916483,13.522350849916483,0.0,0.0,0.0,0,0,0,0,0.0,0.0,390.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,13.522350849916483,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.00013485456141666666,-0.0,-0.0
2007-05-17,tier_excluded,False,0.00013485456141666666,-0.0034393809114360296,100287.11122958144,100300.63540398204,13.52417440060967,13.52417440060967,0.0,0.0,0.0,0,0,0,0,0.0,0.0,390.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,13.52417440060967,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.00013485456141666666,-0.0,-0.0
2007-05-18,tier_excluded,False,0.0001348545614166667,0.006471095772217383,100300.63540398204,100314.16140217926,13.525998197216989,13.525998197216989,0.0,0.0,0.0,0,0,0,0,0.0,0.0,390.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,13.525998197216989,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0001348545614166667,-0.0,-0.0
2007-05-21,tier_excluded,False,0.00040456368424999996,0.006858122588941251,100314.16140217926,100354.74486889858,40.583466719314785,40.583466719314785,0.0,0.0,0.0,0,0,0,0,0.0,0.0,390.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,40.583466719314785,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.00040456368424999996,-0.0,-0.0
2007-05-22,tier_excluded,False,0.00013485456141666666,0.0031928480204344023,100354.74486889858,100368.27816400395,13.533295105376796,13.533295105376796,0.0,0.0,0.0,0,0,0,0,0.0,0.0,390.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,13.533295105376796,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.00013485456141666666,-0.0,-0.0
